cut_id,ae_spindle__length,ae_spindle__kurtosis,ae_table__length,ae_table__kurtosis,vib_spindle__length,vib_spindle__kurtosis,vib_table__length,vib_table__kurtosis,smcdc__length,smcdc__kurtosis,smcac__length,smcac__kurtosis,cut_no,case,tool_class
0_0,1024.0,0.3624531714792325,1024.0,1.4764250293858883,1024.0,0.0709914843846069,1024.0,2.1787543219417893,1024.0,-0.01704222678002454,1024.0,-1.2665142833420076,0,1,0
0_1,1024.0,0.4875954177474484,1024.0,1.505408628976837,1024.0,0.08744846959827379,1024.0,2.228233347799975,1024.0,-0.04239369098442847,1024.0,-1.256077304931373,0,1,0
0_10,1024.0,0.4399278745840767,1024.0,0.6255269369511351,1024.0,-0.0301531754230302,1024.0,2.246197834583991,1024.0,-0.06124986185812231,1024.0,-1.265338634443719,0,1,0
0_11,1024.0,0.4263941614272544,1024.0,0.6174025734841608,1024.0,-0.05786359925798035,1024.0,2.1889145425324807,1024.0,-0.06250340687731182,1024.0,-1.2674391675127585,0,1,0
0_12,1024.0,0.5027065337726295,1024.0,0.6160899280252163,1024.0,-0.0924749269485714,1024.0,2.1358363113944456,1024.0,-0.08388007225035787,1024.0,-1.2590841126119312,0,1,0
0_13,1024.0,0.1901745644382702,1024.0,0.4400052872650151,1024.0,-0.07720164918333872,1024.0,2.131193706115587,1024.0,-0.0837162611463933,1024.0,-1.2645516511341235,0,1,0
0_14,1024.0,0.21711535026552786,1024.0,0.28572127675403536,1024.0,-0.0689078099774183,1024.0,2.1002178740312054,1024.0,-0.10137607455279651,1024.0,-1.2576776880948886,0,1,0
0_15,1024.0,0.1953857590346053,1024.0,0.5074774265289896,1024.0,-0.059060958833242694,1024.0,2.0112610941791615,1024.0,-0.06691877582188921,1024.0,-1.2736318281585788,0,1,0
0_16,1024.0,0.2195451036190601,1024.0,0.48022373512861716,1024.0,-0.06372887932330995,1024.0,1.9902906747842097,1024.0,-0.12235695541260272,1024.0,-1.2618557146800096,0,1,0
0_17,1024.0,0.2387716189923319,1024.0,0.5073993879332162,1024.0,-0.05193957262421511,1024.0,2.010867721641781,1024.0,-0.08742866022790396,1024.0,-1.274347296723033,0,1,0
0_18,1024.0,0.2864542489028863,1024.0,0.5137214167588438,1024.0,-0.04795295866621041,1024.0,1.9856702434092321,1024.0,-0.17571302614523043,1024.0,-1.2730028210151172,0,1,0
0_19,1024.0,0.41483698128271485,1024.0,0.6467350186579082,1024.0,-0.0447403672201796,1024.0,1.9438258130594734,1024.0,-0.16457658083480142,1024.0,-1.2767120697888223,0,1,0
0_2,1024.0,0.49650690094654815,1024.0,1.3606530890509445,1024.0,0.045713172766038035,1024.0,2.2534277542236847,1024.0,0.001626457177924756,1024.0,-1.2630068819255567,0,1,0
0_20,1024.0,0.5268498888239463,1024.0,0.658800999493057,1024.0,-0.05221749285929489,1024.0,1.9318918133731797,1024.0,-0.15164821780432458,1024.0,-1.28308984078294,0,1,0
0_21,1024.0,0.6351554672636874,1024.0,0.9427635206022926,1024.0,0.0009725011606378509,1024.0,1.8388077682230932,1024.0,-0.15043362805985705,1024.0,-1.2757422151842728,0,1,0
0_22,1024.0,0.664861324073172,1024.0,0.9908917006894886,1024.0,-0.020982628223741084,1024.0,1.74781938686602,1024.0,-0.15500920776942895,1024.0,-1.293091543862115,0,1,0
0_23,1024.0,0.5601384428692566,1024.0,1.07149896788785,1024.0,-0.016745188246451548,1024.0,1.6013910781327212,1024.0,-0.14963095234733892,1024.0,-1.275458593861269,0,1,0
0_24,1024.0,0.46875462259048417,1024.0,1.078280164611341,1024.0,-0.03773683017611562,1024.0,1.5395006561028453,1024.0,-0.15624966734082912,1024.0,-1.2907978687502941,0,1,0
0_25,1024.0,0.4493114266946652,1024.0,0.926694776481968,1024.0,-0.023183067212382724,1024.0,1.5177076602624648,1024.0,-0.2052220988609541,1024.0,-1.2839385981698648,0,1,0
0_26,1024.0,0.27651330077132386,1024.0,1.0269244673760598,1024.0,-0.0166178829975685,1024.0,1.4583396546185936,1024.0,-0.17789272239076004,1024.0,-1.289636928128933,0,1,0
0_27,1024.0,0.16097047101761053,1024.0,1.114550750235491,1024.0,-0.029417603069060938,1024.0,1.4032888787612654,1024.0,-0.17642752154718178,1024.0,-1.2916974577705815,0,1,0
0_28,1024.0,0.07292917194366355,1024.0,1.1008013831229029,1024.0,-0.0310129262716643,1024.0,1.3957067428595282,1024.0,-0.1645991787000174,1024.0,-1.2927172205247126,0,1,0
0_29,1024.0,0.08256997377398534,1024.0,1.10622775309485,1024.0,-0.03696793706160184,1024.0,1.3503961402560813,1024.0,-0.13212913115122626,1024.0,-1.2998524177002353,0,1,0
0_3,1024.0,0.6059601365036857,1024.0,1.4383743190911655,1024.0,0.014788555805717696,1024.0,2.262498578429576,1024.0,-0.05763289670587257,1024.0,-1.25693845760688,0,1,0
0_30,1024.0,0.03302065740182858,1024.0,1.2380461117236257,1024.0,-0.0523644863853745,1024.0,1.4187711312370892,1024.0,-0.14918650404319322,1024.0,-1.29663027481067,0,1,0
0_31,1024.0,0.03078376599328969,1024.0,1.0475745805045493,1024.0,-0.0682786777042077,1024.0,1.4644811426608868,1024.0,-0.18444456620462413,1024.0,-1.3046103746223876,0,1,0
0_32,1024.0,0.12362547772041221,1024.0,0.9870447838797589,1024.0,-0.0590106477208181,1024.0,1.477460208309088,1024.0,-0.18541439271125792,1024.0,-1.2935805754821217,0,1,0
0_33,1024.0,0.12113680006217598,1024.0,0.9752020164558992,1024.0,-0.09035467433124067,1024.0,1.404891812906568,1024.0,-0.16118231467866861,1024.0,-1.3038110888674086,0,1,0
0_34,1024.0,0.1722306237767426,1024.0,0.9579509397806154,1024.0,-0.11255259664484596,1024.0,1.5033930216286775,1024.0,-0.21092344632150972,1024.0,-1.2918100313830667,0,1,0
0_35,1024.0,0.15273412642145656,1024.0,0.9949056858908678,1024.0,-0.0885612477626414,1024.0,1.5330430823770307,1024.0,-0.1437247597247442,1024.0,-1.3025219078201125,0,1,0
0_36,1024.0,0.64720517967478,1024.0,0.8681557562935835,1024.0,-0.08927617712015756,1024.0,1.5441731520600595,1024.0,-0.17871742966807203,1024.0,-1.2972356149845479,0,1,0
0_37,1024.0,0.6091399607716075,1024.0,0.566267574726341,1024.0,-0.1449259076854652,1024.0,1.554582081366311,1024.0,-0.16360938825175442,1024.0,-1.3060106819207065,0,1,0
0_38,1024.0,0.5331868551573447,1024.0,0.49352473644949546,1024.0,-0.12964119685930342,1024.0,1.5628116670811814,1024.0,-0.16106207139346562,1024.0,-1.3002666658526012,0,1,0
0_39,1024.0,0.6332807267932465,1024.0,0.6053651031647291,1024.0,-0.12861857371455399,1024.0,1.610655168013034,1024.0,-0.18553886168974598,1024.0,-1.3094587448258477,0,1,0
0_4,1024.0,0.4768886654488784,1024.0,1.5432872948492484,1024.0,0.026043607709086647,1024.0,2.2760732432920765,1024.0,-0.024150448429287152,1024.0,-1.2657868990711676,0,1,0
